,precision,recall,f1-score,support
Malignant,0.0,0.0,0.0,11.0
Benign,0.0,0.0,0.0,9.0
Normal,0.3939393939393939,1.0,0.5652173913043478,13.0
accuracy,0.3939393939393939,0.3939393939393939,0.3939393939393939,0.3939393939393939
macro avg,0.1313131313131313,0.3333333333333333,0.18840579710144925,33.0
weighted avg,0.155188246097337,0.3939393939393939,0.22266139657444003,33.0
