epoch,accuracy,loss,val_accuracy,val_loss
0,0.32034632563591003,0.23132136464118958,0.2931034564971924,0.13115599751472473
1,0.3030303120613098,0.17143328487873077,0.2931034564971924,0.12608787417411804
2,0.32034632563591003,0.14331690967082977,0.4137931168079376,0.11682504415512085
3,0.4502164423465729,0.1275058090686798,0.5,0.11762891709804535
4,0.3722943663597107,0.1290152221918106,0.517241358757019,0.11675842851400375
5,0.37662336230278015,0.13207320868968964,0.4482758641242981,0.11496758460998535
6,0.40692639350891113,0.1255117505788803,0.6724137663841248,0.11691094189882278
7,0.4199134111404419,0.1238393485546112,0.37931033968925476,0.11938430368900299
8,0.3896103799343109,0.12569186091423035,0.4482758641242981,0.11978227645158768
9,0.380952388048172,0.12296635657548904,0.5862069129943848,0.11459997296333313
10,0.3722943663597107,0.12127513438463211,0.6551724076271057,0.11326202750205994
11,0.36796537041664124,0.12340851873159409,0.5,0.11615902930498123
12,0.4761904776096344,0.11490403115749359,0.6206896305084229,0.11204179376363754
13,0.42424243688583374,0.11856836825609207,0.6379310488700867,0.11094139516353607
14,0.42424243688583374,0.1204739362001419,0.6034482717514038,0.10998933762311935
15,0.42424243688583374,0.11740444600582123,0.6551724076271057,0.10980112850666046
16,0.48051947355270386,0.11586271971464157,0.6551724076271057,0.10955587774515152
17,0.46320345997810364,0.11846804618835449,0.6034482717514038,0.10898282378911972
18,0.4848484992980957,0.11677296459674835,0.6034482717514038,0.10729742795228958
19,0.5324675440788269,0.1066201850771904,0.6896551847457886,0.10533661395311356
20,0.4978354871273041,0.11159764230251312,0.5344827771186829,0.10434132814407349
21,0.48051947355270386,0.11362877488136292,0.6034482717514038,0.10239189863204956
22,0.5324675440788269,0.1094544380903244,0.6896551847457886,0.10305216908454895
23,0.523809552192688,0.10997369140386581,0.6551724076271057,0.09975312650203705
24,0.5324675440788269,0.11127543449401855,0.6379310488700867,0.09902067482471466
25,0.5584415793418884,0.10330843925476074,0.6724137663841248,0.09825975447893143
26,0.5497835278511047,0.10188674926757812,0.6551724076271057,0.09366125613451004
27,0.5584415793418884,0.10890854150056839,0.7068965435028076,0.09458589553833008
28,0.5974025726318359,0.09788397699594498,0.6206896305084229,0.09777911752462387
29,0.536796510219574,0.09671448171138763,0.6724137663841248,0.09302021563053131
